id,name,checksum
2,Point-and-click,b295f28a-5f68-fc3e-5de2-f3195e10d160
4,Fighting,d23da988-5bb7-011e-34dc-0b712765e470
5,Shooter,20c255bc-ec2d-c219-34bd-47995b0a79f1
7,Music,cbf12469-a5a8-6974-086c-ec9c6aeb5791
8,Platform,06c188b9-1058-933f-dfee-4ec658117ad2
9,Puzzle,f4afdd14-b8c5-e938-58a6-ff0a56514f8b
10,Racing,41227287-0a1a-0f14-90f2-05655314e8b4
11,Real Time Strategy (RTS),f4e875ed-3c04-6fbe-a600-bbea74ed1025
12,Role-playing (RPG),5a7bd431-149a-3083-532d-2176f4daca24
13,Simulator,00cd9e3e-ef6b-c1c1-387e-cdfcfdc05dd0
14,Sport,ae972fd1-328e-08f9-1ce2-340badc1024e
15,Strategy,a722bf83-aa16-da39-6cbf-709bcfd5c0be
16,Turn-based strategy (TBS),34acc979-404f-f6b2-dc55-3a6f06e6dad6
24,Tactical,f13e2375-3258-bc0c-931b-d7f41f6ca81d
25,Hack and slash/Beat 'em up,6c84d75f-abcb-cf79-dea9-853eb738d178
26,Quiz/Trivia,e51ba5a9-8862-fdb6-480f-59e9e8b813df
30,Pinball,01f4c9a7-4893-54ad-7b83-8ec8ee97d298
31,Adventure,a93a77df-3927-13fa-1d50-5d443cbb695f
32,Indie,8a712b9c-3041-638e-98ae-072760af9611
33,Arcade,cd4431bf-5482-b058-a863-7eb596a438dd
34,Visual Novel,cdc342d3-0a7b-e74f-f4ec-9145e6682a51
35,Card & Board Game,c26cae4e-ecb3-06a9-f46f-245c1da067c8
36,MOBA,c0ca4862-b90a-1aa0-e77f-c0b5c7eb0245
